Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
P05787,P08729			3657098.23502067	
P05787,P08729,P14136,P19013,Q6KB66			40277242.8333333	
P05976,P08590,P60660			76372169.8201569	
P06132			28608290.9009782	
P06276,P68104,Q05639,Q5VTE0			656293152	
P06280			11060299.1241829	
P06396			24908604.9974248	
P06454			604219768.833333	
P06493			61378718.25	
P06576			405489362.333333	
P06703			168466027.333333	
P06730			33831138.7462275	
P06732,P12277			3077450.64054633	
P06733			2052408335.79842	
P06733,P09104,P13929			436328844.333333	
P06733,P13929			585036336	
P06737			28826093.7645728	
P06737,P11216,P11217			14945204.375	
P06744			919474336	
P06748			885261431.333333	
P06753			60448489.75	
P06753,P07951,P09493,P67936			370247316	
P06753,P07951,P67936			114549394.666667	
P06753,P67936			60628069.1666667	
P06756			19815459.9466138	
P06858			17649046.2916667	
P06865			15131589.8692243	
P07099			56704917.7846344	
P07108			152898445.585765	
P07195			1278547336	
P07197,P08670,P17661,Q16352			247896518.666667	
P07203			1172969.63215475	
P07237			293701137	
P07305			22763396.6262786	
P07339			48715329.6773196	
P07355			518584481.333333	
P07384			29493670.375	
P07437			803137800	
P07437,P68371			98286267	
P07437,P68371,Q13509,Q13885,Q9BVA1			518765215.208333	
P07437,P68371,Q13885,Q9BVA1			575342290.050423	
P07437,Q13509,Q13885,Q9BVA1			394325796.375	
P07602			197272861.833333	
P07686			22634860.6458333	
P07711			1279922.07193223	
P07737			2105736784	
P07741			42291245.4583333	
P07814			103726634.333333	
P07858			9513198.63897893	
P07900			502597784.666667	
P07900,P08238			263714118.666667	
P07900,P08238,Q12931			1832935.88623127	
P07900,P08238,Q12931,Q58FF7			289578347	
P07900,P08238,Q14568			17356793.6228065	
P07900,P08238,Q14568,Q58FF6,Q58FF8			4220015.75	
P07900,P08238,Q14568,Q58FF7,Q58FF8,Q58FG1			2327399.07468759	
P07900,P08238,Q14568,Q58FF7,Q58FG1			17125219.3333333	
P07900,P08238,Q14568,Q58FF8			527424312	
P07900,P08238,Q14568,Q58FF8,Q58FG1			307740364.4375	
P07900,P08238,Q58FF6,Q58FF7			384644672	
P07900,P08238,Q58FF6,Q58FF7,Q58FF8			219148994.666667	
P07900,P08238,Q58FF6,Q58FF7,Q58FG0			359141247	
P07900,P08238,Q58FF7			69056462.4027099	
P07900,P08238,Q58FF7,Q58FF8			73463314.3333333	
P07900,Q14568			248556722.333333	
P07900,Q58FG0			313677080.599027	
P07900,Q58FG1			26744538.6666667	
P07910			414379166.666667	
P07919			10804415.1458333	
P07942			9073316.55124061	
P07947,P12931			1621223.96041048	
P07951			81284114.1666667	
P07951,P09493			144137119.333333	
P07951,P67936			116726315.75	
P07954			45147597.8536753	
P08047			3433508.81377443	
P08047,P0CG40,Q02086,Q02446,Q02447,Q3SY56,Q8IXZ3			1791698.58333333	
P08133			73996787.3333333	
P08133,P09525,P50995,Q9UJ72			9480025.75	
P08134			13142104.0416667	
P08134,P61586			157792103.5	
P08134,P61586,P62745			20125059.5	
P08174			19911469.9558013	
P08195			551939959.666667	
P08236			1984244.07117848	
P08237			29724603.5379219	
P08237,P17858			7755467.5	
P08237,P17858,Q01813			9193390.5	
P08238			502997916.666667	
P08238,P14625			174426836	
P08238,P14625,Q58FF6,Q58FF7,Q58FF8			268178088	
P08238,Q58FF7			714352831.333333	
P08238,Q58FF7,Q58FF8			145807681.833333	
P08238,Q58FF8			3603395.265625	
P08240			21344358.0395975	
P08243			25328892.4710239	
P08397			4051537.34985818	
P08559			30946270.1537223	
P08559,P29803			6261360.18065974	
P08572			2294602.31184512	
P08574			5926274.72950547	
P08579			23269959	
P08579,P09012			19888444	
P08581			4534927.40376699	
P08621			66791716.0726073	
P08648			11844729.7843615	
P08651			4902881.25	
P08670			862570811	
P08670,P17661			6067516.70833333	
P08670,P41219			187421671.5	
P08708			257639567	
P08727			16498044.9591924	
P08727,Q04695			41543615.6666667	
P08729			419826985.5	
P08729,Q14CN4			15273040.0294561	
P08729,Q14CN4,Q5XKE5			88205739.1666667	
P08729,Q5XKE5			50780604	
P08754			16984711.7208736	
P08758			439263235.166667	
P08865			267181153	
P09001			12142350.1283865	
P09012			41977287.6203719	
P09086,P14859,Q9UKI9			1277577.33592666	
P09104			7386484.71241386	
P09104,P13929			4557051.25255807	
P09110			11891183.0555198	
P09132			8788433.60826497	
P09211			493044708.166667	
P09234			38366378.9149582	
P09382			449842623.666667	
P09417			10209807.2958416	
P09429			183716245.5	
P09488			28646933.1979079	
P09488,P28161,Q03013			24876008.8805546	
P09488,P46439			19221547.75	
P09488,P46439,Q03013			73020692.9583333	
P09488,Q03013			11303788.4166667	
P09493			4812934.82657013	
P09496			31221613.8333333	
P09497			19825144.2148569	
P09525			21508280.0188163	
P09543			23472551.2407438	
P09601			17511722.5979306	
P09622			49070244.875	
P09651			304062543.430198	
P09651,P22626,Q32P51			39885145.9583333	
P09651,Q32P51			347907376.833333	
P09661			23343780.9247332	
P09669			7347297.55513377	
P09758			2857909.5	
P09874			72259822.9166667	
P09884			10028356.9412411	
P09960			51078786.9375	
P09972			51678092.7235668	
P0C0S5,Q71UI9			175215470.666667	
P0C7P4,P47985			24946510.3958333	
P0C7V7,P67812			5253740.74769583	
P0CB38,Q13310			16825573.125	
P0CG29,P0CG30			8507579.03700448	
P0CG47,P0CG48,P62979,P62987			1627460822.66667	
P0DI81,P0DI82			1856566.83549136	
P0DME0,Q01105			210571127.666667	
P0DMV8,P0DMV9			443057028.5	
P0DMV8,P0DMV9,P11142,P17066,P34931,P48741,P54652			174509800.931868	
P0DMV8,P0DMV9,P11142,P34931,P54652			24908467.6666667	
P0DMV8,P0DMV9,P17066			36406002.5	
P0DMV8,P0DMV9,P17066,P34931,P48741			19506340.25	
P0DMV8,P0DMV9,P17066,P48741			26657953.25	
P0DMV8,P0DMV9,P34931			309910257	
P0DMV8,P0DMV9,P34931,P38646			43368697.0833333	
P0DN76,Q01081			13131765.4791667	
P0DN76,Q01081,Q8WU68			72742088.25	
P0DN79,P35520			26184326.5604608	
P0DP23,P0DP24,P0DP25			331785658.565489	
P0DPB5,P0DPB6			6799042.73430155	
P0DPB6			3760225.78241406	
P0DPH7,P0DPH8,P68363,P68366,Q6PEY2,Q71U36			124877779.790486	
P0DPH7,P0DPH8,P68363,P68366,Q6PEY2,Q71U36,Q9BQE3			125946601.605551	
P0DPH7,P0DPH8,P68363,P68366,Q6PEY2,Q71U36,Q9BQE3,Q9H853,Q9NY65			311656198.135417	
P0DPH7,P0DPH8,P68363,P68366,Q6PEY2,Q71U36,Q9BQE3,Q9NY65			457801457.333333	
P0DPH7,P0DPH8,P68363,P68366,Q6PEY2,Q71U36,Q9NY65			209908668.892538	
P0DPH7,P0DPH8,P68363,P68366,Q71U36,Q9BQE3,Q9NY65			35671314.0839789	
P0DPH7,P0DPH8,P68363,Q6PEY2,Q71U36,Q9BQE3			889880040	
P0DPH7,P0DPH8,P68363,Q71U36,Q9BQE3			14188790.25	
P0DPH7,P0DPH8,Q6PEY2,Q71U36			4416904.0625	
P0DPH7,P0DPH8,Q6PEY2,Q71U36,Q9BQE3,Q9NY65			130794725.166667	
P0DPK2,P0DPK5,P68431,P84243,Q6NXT2,Q71DI3			61715367.3333333	
P10109			2051625.93776223	
P10114,P61225,Q9Y3L5			7065503.06657461	
P10155			30315984.910939	
P10321			3809503.16122956	
P10412			254216446.76542	
P10412,P16401,P16402,P16403			2697814.68820693	
P10412,P16402,P16403			1313399319.33333	
P10412,P16402,P16403,P22492,Q02539			945482599.333333	
P10515			23878228.3300286	
P10586			5729069.75594056	
P10586,P23468,Q13332			1478226.61356404	
P10589			2697545.64135204	
P10589,P24468			1998002.08905488	
P10599			748226932	
P10606			31599303.4791667	
P10619			39992561.4375	
P10620			60266640.875	
P10644			31008070.1641615	
P10644,P31321			4631852.08333333	
P10768			54448481.625	
P10809			870857998.666667	
P10909			16899330.313677	
P11021			734348636.666667	
P11021,P11142,P34931,P54652			334996244	
P11047			4744680.04069331	
P11117			4229321.43712942	
P11142			832005256	
P11142,P17066,P54652			153330446	
P11142,P54652			287463272.666667	
P11171			2000036.21875	
P11172			23334112.6223206	
P11177			64983615.625	
P11182			7718902.05096231	
P11216			7015610.15949757	
P11233			13580289.6448306	
P11277,Q01082			11662318.1666667	
P11279			94812711.8768506	
P11310			27893371.5625	
P11387			39215654	
P11387,Q969P6			13279089.8367208	
P11388			54408322.4375	
P11388,Q02880			44023214.0416667	
P11413			175125082.5	
P11498			44184170.875	
P11586			139094412	
P11586,Q6UB35			23754534.75	
P11717			20960891.3267292	
P11766			62241956.9417129	
P11802			18296649.3662433	
P11831			2350573.81039477	
P11908			12526756.9203499	
P11908,P21108,P60891			22747837.5634785	
P11908,P60891			18317093.3333333	
P11940			110544677.083333	
P11940,Q13310			132055929.583333	
P11940,Q13310,Q4VXU2			32472408.0833333	
P11940,Q13310,Q4VXU2,Q9H361			69658238.5	
P11940,Q13310,Q9H361			66549570.875	
P11940,Q4VXU2			8944914.625	
P11940,Q4VXU2,Q5JQF8,Q9H361			37463122	
P11940,Q9H361			128631119.416667	
P12004			124544878.916667	
P12081			50134960.5833333	
P12081,P49590			20282781.4535927	
P12235			9363158.44431191	
P12235,P12236			55288747.8333333	
P12236			67772062.875	
P12268			141424710	
P12270			39104416.9446399	
P12277			186194127.333333	
P12429			114913563.75	
P12814			124149103.166667	
P12814,P35609			5119986.23987375	
P12955			17138761.5234239	
P12956			301664514.666667	
P13010			363957718.666667	
P13051			2417564.37614407	
P13073			71453811.0142039	
P13473			11568979.75	
P13489			26299541.9606147	
P13639			849421382	
P13667			92607641.304239	
P13674			35919436.9583333	
P13693			67581354.0545561	
P13693,Q56UQ5			74459215	
P13716			2094483.53592938	
P13796,P13797			22481349.3295243	
P13796,P13797,Q14651			28058541.2916667	
P13797			108216992.166667	
P13797,Q14651			47841512.8125	
P13798			30130825.3004877	
P13804			81095413.125	
P13807			8666343.72395833	
P13807,P54840			4468765.75	
P13861			27396653.1061123	
P13861,P31323			6958028.95346576	
P13928,Q5VT79			7600268.03358038	
P13929			16256161.9075663	
P13984			15152939.2083333	
P13987			160242271.916667	
P13995			6256056.13404869	
P14174			489933268.583333	
P14209			1977799.27725135	
P14314			154174002.666667	
P14324			118013273.458333	
P14406			30943496.5	
P14550			46852402.7713861	
P14550,P15121			52452026.0597553	
P14618			1451635476.66667	
P14618,P30613			319756300	
P14625			304709140.5	
P14625,Q58FF3			72353109.875	
P14635			8420209.28125	
P14649,P60660			380736034.119436	
P14678,P63162			80498946.4791667	
P14735			17680637.125	
P14854			34599111.2083333	
P14866			160043091	
P14868			66020465.8333333	
P14923			19479415.9166667	
P14923,P35222			20436413.0470059	
P14927			37041419.8859744	
P15104			16642120.7736525	
P15121			162503133.5	
P15144			10070165.6233265	
P15153,P17081,P60763,P60953,P63000,P84095,Q9H4E5			74849903	
P15153,P60763,P63000			6895512	
P15153,P63000			18081884.75	
P15170			60842718.3333333	
P15170,Q8IYD1			57647509	
P15259,P18669			248394491.5	
P15259,P18669,Q8N0Y7			330036118	
P15291			38562814.09375	
P15311			149117545.333333	
P15311,P26038,P35241			322422392.333333	
P15313,P21281			5176778.75722876	
P15328			35481948.817126	
P15374			24626391.7306015	
P15408			2604418.75478704	
P15531			466469844.666667	
P15531,P22392			233251292.458333	
P15559			193379621.5	
P15586			18116928.5955066	
P15735			2547777.375	
P15880			458321461	
P15924			2138266.32527882	
P15927			36858130.8125	
P15954			37167803.0091797	
P16035			2519391.68561805	
P16070			108941505.333333	
P16104			24527479.5	
P16104,Q8IUE6,Q96QV6			62843426.4583333	
P16152			76104493.9166667	
P16220			1855513.03839171	
P16278			19248761.752102	
P16298,P48454,Q08209			2454676.125	
P16298,Q08209			7218402.58333333	
P16333			927552.697861282	
P16401			736856805.333333	
P16402			112801067.25	
P16403			724337456	
P16435			29947847.2731929	
P16520,P62873,P62879,Q9HAV0			68828768	
P16615			59040580.6666667	
P16615,Q93084			64239508	
P16930			2636981.74681098	
P16949			224316091.977404	
P16949,Q93045			130842156	
P16989			28594007.625	
P16989,P67809			56032905.1458333	
P16989,P67809,Q9Y2T7			37655424.8944891	
P17028			1678481.36458333	
P17050			2060702.6534934	
P17081,P60953			49047060.5	
P17096			40188861.8333333	
P17174			37437778.7975083	
P17252			14682086.1836026	
P17342			9764842.73129313	
P17480			18113743.5843505	
P17516,P42330			72573454.4479167	
P17516,P42330,P52895,Q04828			109022110.333333	
P17516,P42330,Q04828			9587475.69673641	
P17612			15518970.0416667	
P17612,P22694			26237304.5	
P17655			32554067.2916667	
P17676			5772596.8970374	
P17706			1970742.72242807	
P17812			68163663.6666667	
P17812,Q9NRF8			11944918.9270833	
P17813			2767845.96769315	
P17844			105863614.5	
P17844,Q92841			62541384.1145833	
P17858			11924519.2291667	
P17858,Q01813			21156455.375	
P17900			1214758.37528495	
P17931			51123948.3333333	
P17980			61662657.1175541	
P17987			163557895.166667	
P17987,P50991			8091297.75	
P18031			13818652.7923786	
P18077			208218258.357738	
P18085			80276431.3125	
P18085,P61204,P84077,P84085			61767583.1458333	
P18124			261684485.666667	
P18206			126802842.25	
P18583			11544069.4742299	
P18615			6961636.44348683	
P18621			302853122.333333	
P18669			160453428.25	
P18669,Q8N0Y7			48094404.7709171	
P18754			42324917	
P18846			2593917.375	
P18858			22984411.4584497	
P18859			14593533.0270279	
P18887			7762144.50059044	
P19022			16721406.3048456	
P19256			2458988.015625	
P19338			487281555	
P19367			19512214.5145286	
P19367,P52789			14387475.21875	
P19367,P52789,P52790			8492555.5	
P19387			15531417.5142676	
P19388			26627254.2014055	
P19404			8700683.27670522	
P19525			16640337.6725217	
P19623			39297697.5208333	
P19784			5861020.2560469	
P19971			11724115.6011452	
P20020			10838096.2686882	
P20020,P23634			5507386.93889359	
P20020,P23634,Q01814,Q16720			7384156.625	
P20020,P23634,Q16720			3880768.20580882	
P20020,Q01814			1656252.42814041	
P20042			65158576.2708333	
P20073			30551319.2083333	
P20290			69051141.5677961	
P20339			25559335.3606544	
P20339,P51148,P61020			72708958.875	
P20340			19978079.5	
P20618			95670090.8953996	
P20674			45919218.5416667	
P20700			119923764.5	
P20700,Q03252			41946549	
P20810			39902762.5833333	
P20839			11632205.2916667	
P20908			7767346.25285005	
P20933			1659708.10234301	
P20962			73919455	
P21108,P60891			32839069.0999948	
P21127			1838237.20174971	
P21127,Q15131,Q9UQ88			2327954.78771737	
P21127,Q9UQ88			10149541.4121691	
P21266			153890446.083333	
P21281			13439835.6401557	
P21283			14548968.4982614	
P21291			151298249	
P21333			503831097	
P21333,Q14315			42584596.4498437	
P21399			24909508.7083333	
P21796			279265960.666667	
P21796,Q9Y277			83232877	
P21810			4040689.11981338	
P21912			24626282.109375	
P21926			61851826.3333333	
P21953			5875343.84375	
P21964			27025530.0833333	
P21980			23858677.4148918	
P22033			1948454.36196526	
P22059			9277720.18432235	
P22061			37795453.5416667	
P22087			39306894.5028537	
P22090,P62701			20523029.125	
P22090,P62701,Q8TD47			201968604.666667	
P22102			97084128.4166667	
P22234			223534498.5	
P22307			39016362.7702315	
P22314			214977114.166667	
P22392			140610578.666667	
P22570			4229029.15699151	
P22626			654584113.333333	
P22695			66072267.9166667	
P22830			9714389.0473491	
P23142			4249944.35141193	
P23193			25945303.5208333	
P23193,Q15560			11402296.5625	
P23229			9463126.95910742	
P23246			202914226	
P23246,Q15233			7824142.375	
P23258			8854477.03858247	
P23258,Q9NRH3			15982755.2655282	
P23284			288539552.666667	
P23368			15303506.1875	
P23381			59972320.125	
P23396			319885646.666667	
P23434			11492773.3125	
P23526			209810870	
P23528			851279616.666667	
P23528,Q9Y281			715558250.333333	
P23588			59069215.25	
P23634			5075988.47508534	
P23743			4362803.3125	
P23786			4602348.6875	
P23919			23773837.75	
P23921			78330670.1666667	
P24311			17550213.5	
P24534			252817518.166667	
P24534,P29692			315677016.5	
P24539			63758969.0833333	
P24666			20515086.473849	
P24752			42901513.2083333	
P24844			8749246.94139573	
P24928			8732674.04622801	
P24941			23038345.6023466	
P24941,Q00526			7069934.14597505	
P25205			62155694.6666667	
P25208			2467361.33333333	
P25325			21862578.6073737	
P25398			325080507.333333	
P25440			1532556.67105416	
P25490			2612837.47057237	
P25685			40029876.75	
P25685,Q9UDY4			6794079.171875	
P25705			459311754.5	
P25786			89352098.1666667	
P25787			80014436.3333333	
P25788			74944628.125	
P25789			101587602.847814	
P26006			17248889.016686	
P26038			216802617.201671	
P26038,P35241			36937341.5416667	
P26196			21570833.3097904	
P26232,P35221			36663818.0749544	
P26358			17055408.2202145	
P26368			95205702.6913556	
P26373			322687275	
P26440			12243601.8041841	
P26447			274889768.529339	
P26583			78422109	
P26599			211647123.666667	
P26639			248304493.833333	
P26639,Q9BW92			0	
P26640			49923820.0625	
P26641			434023256	
P26885			13204487.3768845	
P27105			28170136.7189536	
P27144			18552401.5234872	
P27348			359165995.333333	
P27348,P31946,P31947,P61981,P62258,P63104,Q04917			15002807.5	
P27348,P31946,P63104			58983266	
P27361			2651538.17149495	
P27361,P28482			11739872.9755339	
P27635			269637381	
P27635,Q96L21			226628933.333333	
P27694			34041807.3958333	
P27695			101189968	
P27707			13293419.9225808	
P27708			48969530.875	
P27797			457396445.666667	
P27816			91392809.8333333	
P27824			200965836.083333	
P28062			5748316.06672511	
P28066			115259196.258258	
P28070			67660824.6666667	
P28072			67665821.2083333	
P28074			94015011.5	
P28288			13762628.3020833	
P28331			17255369.1688189	
P28340			16181837.2764704	
P28370			12600608.449931	
P28482			10722684.9515438	
P28799			18282062.9270833	
P28838			28037900.4621551	
P29034			11764030.25	
P29084			3951273.28511166	
P29144			24846031.2083333	
P29218			12899288.3997278	
P29317,P29323,P54753,P54760,P54762,P54764,Q15375,Q9UF33			3338744.515625	
P29353,P98077			1760818.17860176	
P29353,Q6S5L8			1925001.69687791	
P29372			5201292.71682364	
P29373			139795521.5	
P29401			907967810.666667	
P29401,Q9H0I9			53289947.5	
P29558			6664351.91228726	
P29558,Q15434			12914864.4147705	
P29558,Q6XE24			6940952.81172719	
P29692			264096961	
P29966			165138426.75	
P29992			2258008.34743853	
P29992,P50148			6350130.01576695	
P30040			79233273.75	
P30041			296474969.666667	
P30043			7308224.79581686	
P30044			141342638.192479	
P30047			1892338.76821282	
P30048			92388055	
P30049			5434337	
P30050			279244293.5	
P30084			57227324.029792	
P30085			52399069.5	
P30086			123607574.833333	
P30101			272888441.333333	
P30153			157260320.583333	
P30153,P30154			52107223.9375	
P30154			3888522.59627417	
P30260			12258875.665001	
P30405			51954376.3333333	
P30405,P49792,Q08752			9459600.9317594	
P30419			35384582.7083333	
P30519			15807700.5092717	
P30520			39603926.625	
P30530			1499211.90135349	
P30533			17016846.5236943	
P30536			9883062.16666667	
P30566			37553565.7083333	
P30622			4667167.74929799	
P30626			87556955.4166667	
P30740			21030373.775782	
P30825			5208181.00608834	
P30837			56227414.0976007	
P30838			61293478.6585592	
P30838,P43353,P48448,P51648			10244544.396054	
P30876			66249444.1822844	
P31040			91762897.75	
P31150			22464345.0198516	
P31150,P50395			134227930.365923	
P31153			105187062.897643	
P31153,Q00266			30969006.0402305	
P31327			290345887.5	
P31350			19713280.5043092	
P31483			3327165.20223186	
P31483,Q01085			21197364.5208333	
P31689			100550094.208333	
P31751			1917814.52503334	
P31930			53929547.7916667	
P31937			31023816.875	
P31939			98591519	
P31942			52228010.4396052	
P31942,P31943,P55795			64692256.1055205	
P31943			125778610.583333	
P31943,P52597			8938895.625	
P31943,P52597,P55795			5906079.33333333	
P31943,P55795			236209228.153769	
P31946			343504140.666667	
P31946,P61981			35913619	
P31946,P61981,Q04917			12475892.1666667	
P31947			138517834.833333	
P31948			263458592.5	
P31949			124174798	
P32004			14765395.375	
P32119			356105096	
P32119,Q06830			487361904	
P32320			16958558.5248123	
P32321			2389251.77211521	
P32322			17385324.2718607	
P32322,Q96C36			21921571.1124147	
P32455			12226970.0268276	
P32455,P32456			6084798.10416667	
P32456			2609938.861938	
P32754			23861386.3777389	
P32929			1446519.13346449	
P32969			226484111.5	
P33176			33618512.6237962	
P33176,Q12840			2721078.875	
P33240			23624858.8682508	
P33240,Q9H0L4			7568457.75026403	
P33316			118119895.021173	
P33527			15287047.8818715	
P33897			1769610.30731553	
P33991			69539245	
P33992			49207404.5833333	
P33993			67154934.5833333	
P34896			20456999.4166667	
P34897			94025275.625	
P34932			98766957.5510051	
P34947,P43250			1746170.65625	
P34949			4663454.34375	
P35052			12522732.5393979	
P35080			33142231.8081918	
P35221			49940976.4091816	
P35221,Q9UI47			12787619.5	
P35222			18478852.0839753	
P35232			101946156.833333	
P35237			40827819.7737397	
P35241			79135805.3333333	
P35244			14272679.875	
P35249			29583431.5621386	
P35250			20217060.8398844	
P35251			14642048.4211281	
P35268			287683884.333333	
P35269			10829868.8333333	
P35270			8187844.42133601	
P35573			14862845.4103837	
P35579			389953530.666667	
P35579,P35580			283919405.333333	
P35579,P35580,P35749			60301756.3541667	
P35579,P35580,P35749,Q7Z406			88041839.7261185	
P35579,P35749			51521513.6666667	
P35579,P35749,Q7Z406,Q9UKX3			120632682.5	
P35579,Q7Z406			27628761.5	
P35580			57598682.3089729	
P35580,P35749,Q7Z406			9981519.48045276	
P35606			40848810.4158139	
P35610			11030657.8240785	
P35611			5512850.38240254	
P35613			73067483.5	
P35637			88185119.4166667	
P35637,Q92804			113300878.5	
P35658			15688843.7592036	
P35659			54995308.25	
P35754			5333121.23958333	
P35813			2438699.15625	
P35914			3678597.89549721	
P35998			52708878.375	
P36404			11433996.5155528	
P36405			20418714.0250127	
P36507			8580192.83814884	
P36507,Q02750			14445822.0208247	
P36542			69252387.25	
P36543			3638125.8125	
P36543,Q96A05			11946188.3333333	
P36551			4971463.52966305	
P36578			476457643.333333	
P36639			7242619.828125	
P36776			37921273.2186237	
P36871			38165820.8292955	
P36873,P62136			37350695.0521036	
P36873,P62136,P62140			120555889.041667	
P36915			5278015.70833333	
P36952			49369597.5	
P36957			28461055.8525128	
P36969			1932323.00288138	
P37059			1721818.4198277	
P37108			202654741.333333	
P37198			26728481.5919289	
P37235			18068294.227949	
P37235,P61601,P84074			10905191.6666667	
P37235,P84074			13348128.6260894	
P37268			18213834.2788129	
P37802			492874914	
P37802,Q9UI15			42279548	
P37837			147189958	
P37840			29799259.7423017	
P38117			29036178.9573881	
P38159			86992888.9166667	
P38159,Q96E39			95259095.3125	
P38432			2017681.43183391	
P38435			2804151.77691348	
P38571			3524047.79996813	
P38606			32647907.5366377	
P38646			294886960.5	
P38919			141263555.834481	
P38919,P60842,Q14240			92766666.5420064	
P39019			308647157	
P39023			391694408.333333	
P39023,Q92901			126482834.521153	
P39656			68176929.464965	
P39687			175800307.5	
P39687,Q92688			6313236.99647775	
P39748			132055516.5	
P39880			1095411.10610201	
P39880,Q13948			0	
P40121			63241856.25	
P40123			8579446.71264202	
P40123,Q01518			39590272.5	
P40222			18571043.9671422	
P40227			176239043.873651	
P40227,Q92526			98792660.5719637	
P40261			28459811.3125	
P40424			2309676.43115037	
P40424,P40425			3678154.70090109	
P40424,P40425,P40426			2798578.58388165	
P40424,P40426			2369573.50654286	
P40429			210474719.833333	
P40429,Q6NVV1			147144333.124788	
P40616			20586868.2835169	
P40763			35164710.7916667	
P40818			2203913.21875	
P40855			6985204.04166667	
P40925			176450298.5	
P40926			278422090.666667	
P40937			24796151.3244877	
P40938			21062168.4739248	
P40939			82613928.75	
P41091			59331354.9583333	
P41091,Q2VIR3			64939459.375	
P41208			5572363.3125	
P41208,Q12798			3161077.84375	
P41214			1678768.02471597	
P41221			8319628.44197335	
P41221,Q9H1J7			2696267.35896799	
P41223			21742995.6208339	
P41227			23871854.0022584	
P41227,Q9BSU3			14923485.9895833	
P41236			5408367.19807132	
P41236,Q6NXS1			11457708.3333333	
P41240			2739152.03125	
P41250			69310747.125	
P41252			47045617.4166667	
P41567			48659531.3137193	
P41743			8062191.5839821	
P42025,P61163			27225245.9583333	
P42126			18000052.7801518	
P42166			18908863.9903459	
P42166,P42167			88010205.4396736	
P42167			30931421.78125	
P42224			26252804.6157756	
P42226			3538539.38366954	
P42229,P51692			7825931.21872318	
P42285			24003196.0063626	
P42330			166473480.333333	
P42330,P52895,Q04828			90346793	
P42330,Q04828			11995850.5	
P42345			10670931.4021087	
P42677			63414803.3333333	
P42677,Q71UM5			133086869.372297	
P42695			5861587.84685823	
P42696			2048435.67708333	
P42704			87353714.8333333	
P42765			24555956.5	
P42766			241464563	
P42771			17771787.0531383	
P42771,P42772			20282263.0473105	
P42773			3744364.58774057	
P42892			26489844.9592564	
P43034			57520798.5948437	
P43121			20751307.890807	
P43243			161143430.5	
P43246			21408729.6098137	
P43304			32345266.0584007	
P43307			16556693.75	
P43308			7983856.41666667	
P43487			63338631.5833333	
P43490			24426594.1631342	
P43686			42424889.4501233	
P43897			29354236.3851559	
P45877			15033504.8125	
P45880			171578535.083333	
P45973			87604797.75	
P45973,Q13185			0	
P45974			57577523.3541667	
P46013			22047143.4102654	
P46060			49883366.3645833	
P46063			51749672.9950791	
P46087			20990924.673869	
P46100			4518546.91666667	
P46108			12667215.5811611	
P46109			8180461.26384805	
P46379			12743384.1666667	
P46459			24861709.7083333	
P46736			8175531.75233404	
P46776			289495047.666667	
P46777			288386097.666667	
P46778			207869075	
P46779			345785087	
P46781			158015951	
P46782			399830552.333333	
P46783			87837890.625	
P46783,Q15149,Q9NQ39			38492569	
P46783,Q9NQ39			68504181.5	
P46821			23999963.0416667	
P46926			22699994.6555773	
P46926,Q8TDQ7			18643012.1944866	
P46937			9173920.90139026	
P46940			131566079.5	
P46940,Q86VI3			11304830.6822917	
P46977			1242842.04822282	
P47712			78845747.1158239	
P47755			53491655.2228494	
P47755,P52907			36842584.2083333	
P47756			110179566.212386	
P47813			5921521.58201074	
P47895			8954498.08343036	
P47897			38290763.4375	
P47914			192052837.333333	
P47985			1761040.21934587	
P48047			101230328.416667	
P48059			5958782.44316839	
P48059,Q7Z4I7			3735350.60503561	
P48060			3015358.97267996	
P48147			17841872.4620205	
P48163			22347361.3461495	
P48444			42268738.2916667	
P48449			13253316.7713239	
P48506			7388410.9384132	
P48507			38048200.7916667	
P48509			2628040.609375	
P48556			23657666.6145833	
P48634			1586098.7578125	
P48637			17043999.4433572	
P48643			181219620.666667	
P48643,P50991			92035474.3333333	
P48681			6826672.86861356	
P48729			3622976.25	
P48729,Q8N752			8287435.67686401	
P48730			2428249.97695507	
P48730,P49674			7256898.02131598	
P48735			9953286.09986249	
P48739			38834225.0911706	
P48739,Q00169			10451180.8125	
P48960			14540859.9375	
P48960,Q9UHX3			1243318.17569175	
P49005			10357127.705282	
P49006			29978101.3644748	
P49023			4257571.67889564	
P49189			28138094.8125	
P49207			87876984.25	
P49247			5745401.89583333	
P49257			65024957.0625	
P49321			88516935.4166667	
P49327			317960550.833333	
P49354			2403581.4375	
P49366			7934256.98228312	
P49368			228434608.333333	
P49406			15697001.6917393	
P49411			174701324.493718	
P49419			57859108.4166667	
P49441			4853545.52367791	
P49458			140467032.333333	
P49585			3511151.6530545	
P49588			67286660.5416667	
P49589			20357242.7249432	
P49590			4955696.22165717	
P49591			151783928.083333	
P49642			4155588.9594291	
P49643			15030285.3903796	
P49711			2476114.78125	
P49720			52313729.6746913	
P49721			63931910.2083333	
P49736			61828999.0112094	
P49748			34064716.7936153	
P49750			7981324.07966965	
P49753,Q86TX2			10074323.0049989	
P49755			67354015.5278692	
P49756			21288626.1294309	
P49770			15925431.6764342	
P49773			206542720.416667	
P49790			8639205.85734903	
P49792			25214216.5396782	
P49815			1348754.32375138	
P49821			6813988.95748257	
P49840,P49841			8157736.72341578	
