Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
O00203,Q13367			4462458.72916667	
O00217			1698240.62305974	
O00231			71014560.75	
O00232			63740784.6875	
O00233			21094240.6096432	
O00244			14859919.5625	
O00264			28332967.7652249	
O00264,O15173			5929384.83265561	
O00267			16899021.6318257	
O00273			10419713.3755584	
O00299			205481562	
O00299,Q96NY7,Q9NZA1,Q9Y696			81875892	
O00303			51815656.0729167	
O00330			4240329.36547393	
O00399			6844873.875	
O00410			134169271.965439	
O00410,O60518			75578827.75	
O00411			5908145.91594116	
O00422			32041229.0093997	
O00425			32105617.0484437	
O00425,Q9Y6M1			8702803.76455142	
O00429			23059659.8333333	
O00442			6101398.14583333	
O00461			8922283.23266528	
O00468			915337.033395716	
O00469			52105982.9583333	
O00470,O14770,Q99687			1079100.11940989	
O00471			2415082.4765625	
O00479			9000761	
O00483			39060039.25	
O00487			38287491.3333333	
O00488			2527322.625	
O00499			20586218.825807	
O00505			21516540.7015524	
O00505,O00629			7688438.48670842	
O00506,Q9P289			5065707.17556451	
O00506,Q9P289,Q9Y6E0			7312373.28125	
O00507,Q93008			7084925.76041667	
O00541			18113831.0868197	
O00566			0	
O00567			50287142.4166667	
O00571			63790087.4166667	
O00571,O15523			51227665.1666667	
O00571,O15523,P17844,Q92841			12754528.0625	
O00571,O15523,Q9NQI0			13744738.0140263	
O00592			60097988.875	
O00625			26249170.0638582	
O00629			8102344.41666667	
O00712			3509273.6875	
O00712,P08651,Q12857,Q14938			5602418.45683771	
O00743			19342847.5965732	
O00762			19301123.6979167	
O00763,Q13085			15438562.046511	
O00764			58034682.25	
O00767			14511182.3599834	
O14497			3901221.69970438	
O14519			5556260.02151273	
O14530			5487532.75	
O14548			1576566.64055706	
O14556,P04406			6841877.29460197	
O14561			49927226.6440988	
O14562			7925615.13541667	
O14579			44992324.8196013	
O14602,P47813			38438246.4583333	
O14617			19030670.6528513	
O14639			2370586.90625	
O14646			4914358.75062474	
O14646,O14647			1564817.40114727	
O14646,O14647,Q3L8U1,Q8TD26,Q9HCK8,Q9P2D1			3482073.375	
O14653			2763603.7537645	
O14656			5083161.49254187	
O14657			1321938.08162372	
O14672			1242616.25941014	
O14715,P49792,Q99666			4612752.45833333	
O14732			4756346.28125	
O14737			76918129.0466832	
O14744			37459318.4887692	
O14745			33788185.9864902	
O14773			20135916.3265758	
O14776			15490702.4221183	
O14776,Q5VWI1			6375824.32387026	
O14782,O15066,Q02224,Q9BVG8,Q9HAQ2,Q9NS87,Q9P2E2,Q9P2P6			1650265.3125	
O14787,Q92973			24751017.0272412	
O14818			83708544.4156933	
O14818,Q8TAA3			113978459.166667	
O14828			11268191.9654336	
O14874			12614509.4857936	
O14893			2274282.73962649	
O14907			13658100.4601879	
O14908			3997828.00738819	
O14908,Q8TF65			4657414.93025566	
